Brand,ModelNumber,Price_YourData,Price_TimeZ,CaseDiameter_YourData,CaseDiameter_TimeZ,CaseMaterial_YourData,CaseMaterial_TimeZ,Price_Match,CaseDiameter_Match,CaseMaterial_Match
Panerai,PAM01087,5600,5600,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01086,5600,5600,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01085,6100,6100,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01084,6100,6100,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM00914,7100,7100,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM00915,7600,7600,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM00422,10800,10800,47,47,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01371,7800,7800,40,40,Steel,"Stainless Steel,Stainless Steel",TRUE,TRUE,TRUE
Panerai,PAM01370,7800,7800,40,40,Steel,"Stainless Steel,Stainless Steel",TRUE,TRUE,TRUE
Panerai,PAM01372,7800,7800,40,40,Steel,"Stainless Steel,Stainless Steel",TRUE,TRUE,TRUE
Panerai,PAM01408,9300,9300,40,40,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01314,8800,8800,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01313,8800,8800,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01312,8800,8800,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01356,9400,9400,44,44,Esteel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01157,9400,9400,44,44,Esteel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01358,9400,9400,44,44,Esteel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01564,9500,9500,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01316,9500,9500,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01562,9500,9500,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01412,9800,9800,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM02661,14800,14800,44,44,Carbotech,,TRUE,TRUE,FALSE
Panerai,PAM01529,16200,16200,44,44,Carbotech,,TRUE,TRUE,FALSE
Panerai,PAM02662,16300,16300,44,44,Titane - Carbotech,"Titanium,Titanium Gold",TRUE,TRUE,TRUE
Panerai,PAM01112,26800,26800,44,44,Goldtech,Goldtech,TRUE,TRUE,TRUE
Panerai,PAM01367,9200,9200,40,40,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01365,9200,9200,40,40,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01404,9600,9600,40,40,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01360,10600,10600,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01361,10600,10600,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01467,12700,12700,44,44,Titanium Dlc,Titanium,TRUE,TRUE,TRUE
Panerai,PAM01441,14900,14900,44,44,Titanium,"Titanium,Ceramic",TRUE,TRUE,TRUE
Panerai,PAM01218,10000,10000,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01109,10000,10000,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01548,10800,10800,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01110,10800,10800,44,44,Steel,Stainless Steel,TRUE,TRUE,TRUE
Panerai,PAM01219,16600,16600,44,44,Carbotech,,TRUE,TRUE,FALSE
Panerai,PAM01498,17700,17700,44,44,Titanium,Ceramic,TRUE,TRUE,TRUE
