Brand,ModelNumber,Price_YourData,Price_TimeZ,CaseDiameter_YourData,CaseDiameter_TimeZ,CaseMaterial_YourData,CaseMaterial_TimeZ,CaseMaterial_YourData_Std,CaseMaterial_TimeZ_Std,Price_Match,CaseDiameter_Match,CaseMaterial_Match
Panerai,PAM01087,5600.0,5600.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01086,5600.0,5600.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01085,6100.0,6100.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01084,6100.0,6100.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM00914,7100.0,7100.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM00915,7600.0,7600.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM00422,10800.0,10800.0,47.0,47.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01371,7800.0,7800.0,40.0,40.0,Steel,"Stainless Steel,Stainless Steel",other,other,True,True,True
Panerai,PAM01370,7800.0,7800.0,40.0,40.0,Steel,"Stainless Steel,Stainless Steel",other,other,True,True,True
Panerai,PAM01372,7800.0,7800.0,40.0,40.0,Steel,"Stainless Steel,Stainless Steel",other,other,True,True,True
Panerai,PAM01408,9300.0,9300.0,40.0,40.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01314,8800.0,8800.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01313,8800.0,8800.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01312,8800.0,8800.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01356,9400.0,9400.0,44.0,44.0,Esteel,Stainless Steel,other,other,True,True,True
Panerai,PAM01157,9400.0,9400.0,44.0,44.0,Esteel,Stainless Steel,other,other,True,True,True
Panerai,PAM01358,9400.0,9400.0,44.0,44.0,Esteel,Stainless Steel,other,other,True,True,True
Panerai,PAM01564,9500.0,9500.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
Panerai,PAM01316,9500.0,9500.0,44.0,44.0,Steel,Stainless Steel,other,other,True,True,True
